cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_2973,60,30,85,70,50,40,75,"Lillian Roberts has a strong background in commercial law with significant experience in advising corporate clients, particularly in finance-related sectors. Her communication skills are highlighted by her proficiency in litigation and corporate governance, though her technical skills in data analysis and financial modelling are not evidenced. Leadership and cultural fit are less clear due to limited information on team engagement and outside interests.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery; Educational background,Technical & Analytical Skills; Leadership; Culture
CV_7099,0,40,80,60,70,50,0,,,
CV_9633,0,0,85,0,70,0,0,,,
CV_3587,0,0,0,0,0,0,0,,,
CV_9202,0,0,80,0,0,0,0,,,
CV_7343,0,30,50,20,0,20,30,,,
CV_0902,0,0,70,0,0,0,60,"The candidate has strong communication skills and a relevant educational background in mechanical engineering. However, there is no evidence of domain and finance knowledge, technical and analytical skills, project delivery, leadership, or cultural fit.",Strong communicator; Relevant educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_7874,0,0,80,70,60,50,0,,,
CV_0457,0,0,0,0,0,0,60,,,
CV_5171,60,50,70,65,75,50,70,"Charlene has significant experience in healthcare operations and financial oversight, demonstrating strong leadership and project delivery skills. However, her technical and analytical skills related to the financial sector, particularly in data analysis and programming, are not evident. Engagement and communication skills are present but not strongly highlighted.",Leadership; Project Delivery,Domain & Finance Knowledge; Technical & Analytical Skills; Culture; Educational background
CV_2887,0,85,80,70,0,0,0,,,
CV_4442,0,0,70,0,0,70,60,,,
CV_1775,0,30,60,50,40,20,80,,,
CV_2599,0,0,90,0,0,0,70,,,
CV_1961,0,0,0,0,0,0,50,,,
CV_6914,0,0,0,0,0,0,0,,,
CV_1094,0,0,0,0,0,0,50,,,
CV_0780,0,0,90,0,80,0,70,,,
CV_2236,0,0,0,0,0,0,0,,,
CV_6099,0,20,50,30,20,30,60,,,
CV_3179,0,0,85,0,0,0,70,,,
CV_5436,0,0,80,0,0,0,75,"Nelebogo Mohlala has a strong background in occupational therapy with significant clinical experience, but lacks relevant financial knowledge and technical skills in data analysis or finance. Her engagement and communication skills are notable, reflecting her collaborative approach in healthcare settings.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background
CV_6731,0,0,0,0,0,0,0,,,
CV_6671,0,0,80,0,0,70,0,,,
CV_5214,0,20,60,70,50,40,85,,,
CV_2522,0,0,80,0,70,0,75,,,
CV_5806,0,0,90,0,80,0,50,,,
CV_8571,0,70,60,70,0,0,0,,,
CV_1521,60,70,65,50,40,50,85,"Tumelo Naude is an Agricultural Economist with a strong analytical background and relevant educational qualifications. While he demonstrates solid technical skills and a good understanding of agricultural economics, there is limited evidence of direct financial knowledge and project delivery experience in regulated environments. His leadership and engagement skills are not clearly highlighted.",Analytical skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Culture
CV_5756,0,0,85,75,60,70,70,,,
