cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_3807,0,0,90,0,0,70,85,"Nadia has extensive experience in social media marketing and a strong educational background with an MBA from UCT. While she demonstrates strong engagement and communication skills, her domain knowledge in finance and technical skills relevant to fintech consulting are not evidenced in her CV.",Engagement & Communication Skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_9742,0,0,90,70,60,80,0,,,
CV_6880,75,60,80,85,70,70,70,"Mignon Dlomo is an experienced financial manager with a strong background in accounting and financial operations. She demonstrates solid leadership and project delivery skills, managing a team effectively while ensuring compliance and delivering financial solutions. However, there is limited evidence of technical skills in data analysis and programming languages like SQL and Python.",Financial operations management; Team leadership; High-quality financial solutions delivery,Technical skills in SQL and Python; Specific examples of stakeholder engagement; Outside interests and skills for culture fit
CV_2973,60,40,85,70,50,50,80,"Lillian Roberts has a solid background in commercial law with a focus on finance-related sectors, showcasing strong communication skills and experience in project delivery. However, her technical and analytical skills related to data analysis and financial modelling are not evident from the provided information.",Engagement & Communication Skills; Project Delivery; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Leadership; Culture
CV_7099,0,30,80,50,60,50,0,,,
CV_9633,0,0,90,0,70,0,0,,,
CV_3587,0,0,0,0,0,0,0,,,
CV_9202,0,0,80,0,0,0,0,,,
CV_7343,0,40,50,30,20,30,50,"Nadia Zondo has a background in operational optimization and process improvement but lacks direct experience in finance and technical skills relevant to the role. Her education in business administration is noted, but her culinary background does not align with financial consulting.",Bachelor of Business Administration,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Culture; Professional qualifications
CV_0902,0,20,70,0,0,50,60,"The candidate has strong communication skills and a relevant educational background in mechanical engineering. However, there is no evidence of domain knowledge in finance or experience in project delivery and leadership roles.",Strong communicator; Relevant educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_7874,0,0,80,70,60,50,0,,,
CV_0457,0,0,0,0,0,0,60,,,
CV_5171,60,50,70,75,80,65,70,"Charlene has significant experience in healthcare operations and financial oversight, demonstrating strong leadership and project delivery skills. However, her technical and analytical skills in data analysis and financial modelling are not highlighted, and her domain knowledge appears to be focused on healthcare rather than banking or insurance.",Leadership; Project Delivery; Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Culture; Educational background
CV_2887,0,85,80,70,60,50,0,,,
CV_4442,0,0,70,0,0,60,50,"The candidate has a strong background in education but lacks relevant experience in finance or technical skills related to the role. They demonstrate good engagement and communication skills through their teaching experience, but there is no evidence of project delivery or leadership in a financial context.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background
CV_1775,0,20,60,40,50,30,80,,,
CV_2599,0,0,90,0,0,0,70,,,
CV_1961,0,0,0,0,0,0,50,,,
CV_6914,0,0,0,0,0,0,0,,,
CV_1094,0,0,0,0,0,0,50,,,
CV_0780,0,0,90,0,80,0,70,"The candidate has strong communication and leadership skills demonstrated through their nursing experience. However, they lack relevant financial and technical expertise required for the financial consultant role. Their educational background is in nursing, which does not align with the finance domain.",Exceptional communication skills; Strong leadership in healthcare,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Culture
CV_0588_short,0,0,0,0,0,0,0,,,
CV_2236,0,0,0,0,70,0,0,,,
CV_6099,0,0,0,0,0,0,50,,,
CV_3179,0,0,90,0,0,0,70,"Aliyah Naidoo has a strong background in healthcare with excellent communication skills demonstrated through her experience in patient care and multidisciplinary team support. However, there is no relevant experience in finance or technical skills related to the financial sector, which is critical for the role of a financial consultant.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background
CV_5436,0,0,80,0,0,0,80,"Nelebogo Mohlala has a strong background in occupational therapy with a focus on patient-centered care and rehabilitation. However, there is no relevant experience or knowledge in finance or technical skills related to the financial sector.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background
CV_6731,0,0,0,0,0,0,0,,,
CV_6671,0,0,80,0,0,70,0,,,
CV_5214,0,20,60,70,50,30,85,,,
CV_2522,0,0,70,0,60,0,70,,,
CV_5806,0,0,90,0,70,0,60,,,
CV_8571,0,70,60,70,0,0,0,,,
CV_1521,60,70,75,65,50,55,80,"Tumelo Naude has a strong background in agricultural economics with a focus on data-driven analysis and strategic insights. However, there is limited evidence of direct experience in finance or banking, which may affect scores in those areas. Overall, the educational background is solid with a master's degree from a reputable university.",Analytical skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Culture
CV_5756,0,0,85,70,0,60,70,,,
CV_0588_Japanese,85,80,75,90,85,70,85,"The candidate has extensive experience in financial transformation and change management within banking and insurance, showcasing strong domain knowledge and leadership in project delivery. Their educational background is solid with an MBA in Finance and a Bachelor's in Commerce. Engagement skills are evident through client workshops and community involvement, though specific examples of communication skills could be more detailed.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Educational background,Engagement & Communication Skills; Culture
