cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_9742,0,0,85,70,60,75,0,,,
CV_6880,75,60,80,70,75,70,70,"Mignon Dlomo has a solid background in finance with experience in financial management and accounting. She demonstrates strong engagement and communication skills as a collaborative team player. However, there is limited evidence of technical skills in data analysis or programming languages like SQL and Python.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery; Leadership; Culture,Technical & Analytical Skills; Educational background
CV_2973,60,30,85,70,50,40,80,"Lillian Roberts has a strong background in commercial law with significant experience in advising corporate clients, particularly in finance-related sectors. Her communication skills are excellent, but technical and analytical skills relevant to financial consulting are less evident. Her educational background from a reputable university adds to her qualifications.",Domain & Finance Knowledge; Engagement & Communication Skills; Educational background,Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_7099,0,30,80,60,50,40,0,,,
CV_9633,0,0,90,0,70,0,0,,,
CV_3587,0,0,0,0,0,0,0,,,
CV_9202,0,0,80,0,0,0,0,,,
CV_7343,0,40,60,30,20,50,30,,,
CV_0902,0,20,70,0,0,30,60,"The candidate has a strong background in mechanical engineering but lacks relevant experience in finance or banking. Their communication skills are noted, but there is no evidence of project delivery or leadership in a financial context.",Communication skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background in finance or related fields
CV_7874,0,0,80,70,60,50,0,,,
CV_0457,0,0,0,0,0,0,60,,,
CV_5171,60,50,70,75,80,65,70,"Charlene has significant experience in healthcare operations and financial oversight, demonstrating strong leadership and project delivery skills. However, her technical and analytical skills appear limited, and there is no specific mention of finance-related qualifications or a strong university background.",Leadership; Project Delivery; Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Culture; Educational background
CV_2887,0,85,80,70,60,50,0,,,
CV_4442,0,0,80,0,0,70,0,,,
CV_1775,0,30,60,50,40,20,85,,,
CV_2599,0,0,90,0,0,0,70,,,
CV_1961,0,0,0,0,0,0,50,,,
CV_6914,0,0,0,0,0,0,0,"The candidate has a strong background in Safety, Health, and Environment but lacks relevant experience in finance or banking. There is no evidence of technical skills in data analysis, SQL, or Python, nor any indication of engagement or leadership in a financial context.",,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Culture; Educational background
CV_1094,0,0,0,0,0,0,0,,,
CV_0780,0,0,90,0,80,0,60,"The candidate has strong communication skills and leadership experience in healthcare, but lacks relevant financial and technical expertise. Their educational background is in nursing, which does not align with the financial consultant role.",Engagement & Communication Skills; Leadership,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Culture; Educational background in finance or related fields
CV_2236,0,0,0,0,0,0,0,,,
CV_6099,0,20,60,50,30,40,70,"The candidate has a strong background in interior design with relevant education but lacks experience in finance and related domains. Their technical skills are primarily in design software rather than financial analysis tools. Engagement and communication skills are somewhat present through project management experience, but leadership and culture fit are not clearly demonstrated.",Project Management; Creative Direction,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Leadership; Culture
CV_3179,0,0,90,0,0,0,65,,,
CV_5436,0,0,80,0,0,0,85,"Nelebogo Mohlala has a strong educational background with a degree from the University of the Witwatersrand. While she demonstrates excellent engagement and communication skills through her patient-centered care approach, there is no evidence of domain and finance knowledge, technical skills, project delivery, or leadership experience relevant to the financial consultant role.",Educational background; Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_6731,0,0,0,0,0,0,0,,,
CV_6671,0,0,80,0,0,70,0,,,
CV_5214,0,20,70,80,50,30,80,,,
CV_2522,0,0,80,0,70,0,75,,,
CV_5806,0,0,90,0,80,0,50,,,
CV_8571,0,70,60,70,0,0,0,,,
CV_1521,70,80,75,60,50,55,85,"Tumelo Naude has a strong background in agricultural economics with a focus on data-driven analysis and strategic insights. Their educational qualifications from the University of Pretoria enhance their credibility in the field. However, there is limited evidence of direct experience in finance or leadership roles, which may impact their fit for a financial consultant position.",Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Educational background,Project Delivery; Leadership; Culture
CV_5756,0,0,85,70,0,70,70,"Chanel Wynberg has a strong background in communication and project management, particularly in the cultural sector. However, there is no relevant experience in finance or technical skills related to data analysis, SQL, or Python, which are critical for the role of a financial consultant.",Engagement & Communication Skills; Project Delivery; Culture,Domain & Finance Knowledge; Technical & Analytical Skills; Leadership; Educational background
