cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_1775,0,20,60,40,50,30,80,,,
CV_2599,0,0,90,0,0,0,70,,,
CV_1961,0,0,0,0,0,0,50,,,
CV_6914,0,0,0,0,0,0,0,,,
CV_1094,0,0,0,0,0,0,50,,,
CV_0780,0,0,90,0,80,0,70,,,
CV_0588_short,60,70,65,60,50,55,70,"Sipho Moyo has a background in financial transformation and change management, indicating some domain and finance knowledge. However, specific technical skills and project delivery evidence are limited, leading to conservative scores in those areas.",Domain & Finance Knowledge; Culture,Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership; Educational background
CV_2236,0,0,0,0,0,0,0,,,
CV_6099,0,20,50,30,20,30,70,,,
CV_3179,0,0,85,0,0,0,60,"Aliyah Naidoo has a strong background in healthcare with significant experience in patient care and communication. However, there is no relevant experience or skills in finance, technical analysis, or project delivery. Her educational background in nursing does not align with the financial consultant role.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background in finance or related fields
CV_5436,0,0,85,0,0,0,70,"Nelebogo Mohlala has a strong background in occupational therapy with a focus on patient-centered care and rehabilitation. However, there is no relevant experience or knowledge in finance or technical skills related to the financial sector.",Engagement & Communication Skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture; Educational background
CV_6731,0,0,0,0,0,0,0,,,
CV_6671,0,0,80,0,0,70,0,,,
CV_5214,0,20,60,70,50,30,80,"Siyanda Botha has a strong educational background in horticulture from Stellenbosch University and demonstrates solid project delivery skills through managing high-value landscape projects. However, there is no relevant experience in finance or technical skills related to data analysis, SQL, or Python, which are critical for the financial consultant role.",Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Leadership; Culture
CV_2522,0,0,80,0,70,50,70,,,
CV_5806,0,0,90,0,80,0,50,,,
CV_8571,0,70,60,70,0,0,0,,,
CV_1521,65,70,75,60,50,55,80,"Tumelo Naude has a strong background in agricultural economics with a focus on data-driven analysis and strategic insights. Their educational qualifications from the University of Pretoria indicate a solid foundation in the field, though specific financial consulting experience is not highlighted. Engagement and communication skills are implied through their ability to provide insights and contribute to initiatives, but direct evidence is limited.",Agricultural economics knowledge; Analytical skills; Educational background,Domain & finance knowledge; Technical & analytical skills; Project delivery; Leadership; Culture
CV_5756,0,0,85,75,70,60,70,,,
CV_0588_Japanese,85,80,75,90,85,70,85,"The candidate has extensive experience in financial transformation and change management within banking and insurance, demonstrating strong domain knowledge and leadership skills. Their educational background includes an MBA in Finance and Strategy, indicating a solid foundation in finance. Engagement and communication skills are evidenced through stakeholder management and client workshops, though specific examples of team culture contributions are less clear.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Educational background,Engagement & Communication Skills; Culture
